time,n_iter,distance,n_round,sigma,sigma_GKP,sigma_idle,with_info,method,X_err_rate,Z_err_rate,Y_err_rate,avg_n_measure
260506_154046,100000,5,5,0.0667,0.0000,0.0667,True,adaptive_global_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,5.02248
260506_154401,10000,5,5,0.1000,0.1000,0.1000,True,adaptive_global_success_one_zero_old,0.160000000000000,0.157700000000000,0.047500000000000,63.5136
260506_154114,100000,5,5,0.0733,0.0000,0.0733,True,adaptive_global_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,9.8262
260506_154410,10000,5,5,0.1067,0.1067,0.1067,True,adaptive_global_success_one_zero_old,0.227100000000000,0.211900000000000,0.109700000000000,75.6732
260506_154114,100000,5,5,0.0800,0.0000,0.0800,True,adaptive_global_success_one_zero_old,0.000270000000000,0.000200000000000,0.000000000000000,15.72732
260506_154321,50000,5,5,0.0867,0.0867,0.0867,True,adaptive_global_success_one_zero_old,0.025060000000000,0.024940000000000,0.000780000000000,35.89512
260506_154449,10000,5,5,0.1133,0.1133,0.1133,True,adaptive_global_success_one_zero_old,0.234200000000000,0.241500000000000,0.185200000000000,84.5544
260506_154448,10000,5,5,0.1200,0.1200,0.1200,True,adaptive_global_success_one_zero_old,0.247000000000000,0.252300000000000,0.220300000000000,90.1248
260506_154345,50000,5,5,0.0933,0.0933,0.0933,True,adaptive_global_success_one_zero_old,0.080980000000000,0.079280000000000,0.008780000000000,49.35672
260506_154306,100000,5,5,0.0667,0.0667,0.0667,True,adaptive_global_success_one_zero_old,0.000030000000000,0.000010000000000,0.000000000000000,9.54516
260506_154306,100000,5,5,0.0600,0.0600,0.0600,True,adaptive_global_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,4.30596
260506_154306,100000,5,5,0.0733,0.0733,0.0733,True,adaptive_global_success_one_zero_old,0.000320000000000,0.000310000000000,0.000000000000000,16.3044
260506_154317,100000,5,5,0.0800,0.0800,0.0800,True,adaptive_global_success_one_zero_old,0.004130000000000,0.003570000000000,0.000040000000000,24.7008
260506_155742,10000,5,5,0.0000,0.2000,0.0000,True,default_tracking_old,0.051500000000000,0.051700000000000,0.002400000000000,120.0
260506_155528,100000,5,5,0.0000,0.1200,0.0000,True,default_tracking_old,0.000000000000000,0.000000000000000,0.000000000000000,120.0
260506_155645,50000,5,5,0.0000,0.1733,0.0000,True,default_tracking_old,0.003380000000000,0.003080000000000,0.000020000000000,120.0
260506_155829,10000,5,5,0.0000,0.2133,0.0000,True,default_tracking_old,0.103700000000000,0.110400000000000,0.013500000000000,120.0
260506_155548,100000,5,5,0.0000,0.1333,0.0000,True,default_tracking_old,0.000000000000000,0.000000000000000,0.000000000000000,120.0
260506_155834,10000,5,5,0.0000,0.2267,0.0000,True,default_tracking_old,0.170300000000000,0.169700000000000,0.045300000000000,120.0
260506_155715,50000,5,5,0.0000,0.1867,0.0000,True,default_tracking_old,0.015740000000000,0.017240000000000,0.000340000000000,120.0
260506_155627,100000,5,5,0.0000,0.1467,0.0000,True,default_tracking_old,0.000010000000000,0.000000000000000,0.000000000000000,120.0
260506_155906,10000,5,5,0.0000,0.2400,0.0000,True,default_tracking_old,0.216900000000000,0.211400000000000,0.099800000000000,120.0
260506_155632,100000,5,5,0.0000,0.1600,0.0000,True,default_tracking_old,0.000450000000000,0.000460000000000,0.000000000000000,120.0
260506_160016,10000,5,5,0.1000,0.0000,0.1000,True,default_tracking_old,0.082900000000000,0.081900000000000,0.008300000000000,120.0
260506_160025,10000,5,5,0.1067,0.0000,0.1067,True,default_tracking_old,0.153000000000000,0.149800000000000,0.036300000000000,120.0
260506_160026,10000,5,5,0.1133,0.0000,0.1133,True,default_tracking_old,0.209300000000000,0.204700000000000,0.086600000000000,120.0
260506_160026,10000,5,5,0.1200,0.0000,0.1200,True,default_tracking_old,0.236000000000000,0.233100000000000,0.159900000000000,120.0
260506_155907,100000,5,5,0.0600,0.0000,0.0600,True,default_tracking_old,0.000000000000000,0.000000000000000,0.000000000000000,120.0
260506_155940,50000,5,5,0.0867,0.0000,0.0867,True,default_tracking_old,0.006300000000000,0.005980000000000,0.000060000000000,120.0
260506_155913,100000,5,5,0.0667,0.0000,0.0667,True,default_tracking_old,0.000030000000000,0.000000000000000,0.000000000000000,120.0
260506_155926,100000,5,5,0.0733,0.0000,0.0733,True,default_tracking_old,0.000040000000000,0.000040000000000,0.000000000000000,120.0
260506_160012,50000,5,5,0.0933,0.0000,0.0933,True,default_tracking_old,0.027140000000000,0.028000000000000,0.000800000000000,120.0
260506_160252,10000,5,5,0.1000,0.1000,0.1000,True,default_tracking_old,0.191000000000000,0.193100000000000,0.066800000000000,120.0
260506_160253,10000,5,5,0.1067,0.1067,0.1067,True,default_tracking_old,0.236800000000000,0.230500000000000,0.141700000000000,120.0
260506_155931,100000,5,5,0.0800,0.0000,0.0800,True,default_tracking_old,0.000680000000000,0.000580000000000,0.000000000000000,120.0
260506_160048,100000,5,5,0.0600,0.0600,0.0600,True,default_tracking_old,0.000000000000000,0.000010000000000,0.000000000000000,120.0
260506_160314,10000,5,5,0.1133,0.1133,0.1133,True,default_tracking_old,0.239100000000000,0.246100000000000,0.200300000000000,120.0
260506_160121,100000,5,5,0.0667,0.0667,0.0667,True,default_tracking_old,0.000080000000000,0.000050000000000,0.000000000000000,120.0
260506_160354,10000,5,5,0.1200,0.1200,0.1200,True,default_tracking_old,0.259400000000000,0.250300000000000,0.227200000000000,120.0
260506_160213,50000,5,5,0.0867,0.0867,0.0867,True,default_tracking_old,0.045880000000000,0.045720000000000,0.002700000000000,120.0
260506_160144,100000,5,5,0.0733,0.0733,0.0733,True,default_tracking_old,0.001310000000000,0.001110000000000,0.000000000000000,120.0
260506_160232,50000,5,5,0.0933,0.0933,0.0933,True,default_tracking_old,0.118380000000000,0.116600000000000,0.018360000000000,120.0
260506_160201,100000,5,5,0.0800,0.0800,0.0800,True,default_tracking_old,0.011210000000000,0.010400000000000,0.000100000000000,120.0
260506_163624,100000,7,7,0.0000,0.1200,0.0000,True,adaptive_global_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,1.2492
260506_163717,100000,7,7,0.0000,0.1333,0.0000,True,adaptive_global_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,5.382
260506_164142,50000,7,7,0.0000,0.1733,0.0000,True,adaptive_global_success_one_zero_old,0.000080000000000,0.000160000000000,0.000000000000000,46.6392
260506_163818,100000,7,7,0.0000,0.1467,0.0000,True,adaptive_global_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,14.65488
260506_164638,10000,7,7,0.0000,0.2000,0.0000,True,adaptive_global_success_one_zero_old,0.017300000000000,0.018200000000000,0.000900000000000,89.7792
260506_164325,50000,7,7,0.0000,0.1867,0.0000,True,adaptive_global_success_one_zero_old,0.002400000000000,0.002180000000000,0.000060000000000,62.32512
260506_164659,10000,7,7,0.0000,0.2133,0.0000,True,adaptive_global_success_one_zero_old,0.073500000000000,0.077100000000000,0.007700000000000,128.3376
260506_164023,100000,7,7,0.0000,0.1600,0.0000,True,adaptive_global_success_one_zero_old,0.000010000000000,0.000010000000000,0.000000000000000,28.4328
260506_164711,10000,7,7,0.0000,0.2267,0.0000,True,adaptive_global_success_one_zero_old,0.167400000000000,0.163200000000000,0.051200000000000,169.9824
260506_165032,10000,7,7,0.1000,0.0000,0.1000,True,adaptive_global_success_one_zero_old,0.102600000000000,0.109400000000000,0.013900000000000,142.86
260506_164713,10000,7,7,0.0000,0.2400,0.0000,True,adaptive_global_success_one_zero_old,0.230900000000000,0.225000000000000,0.137200000000000,205.5096
260506_164717,100000,7,7,0.0600,0.0000,0.0600,True,adaptive_global_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,6.96696
260506_165015,50000,7,7,0.0867,0.0000,0.0867,True,adaptive_global_success_one_zero_old,0.003120000000000,0.003540000000000,0.000020000000000,55.18368
260506_164806,100000,7,7,0.0667,0.0000,0.0667,True,adaptive_global_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,16.11168
260506_164842,100000,7,7,0.0733,0.0000,0.0733,True,adaptive_global_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,26.3496
260506_164842,100000,7,7,0.0800,0.0000,0.0800,True,adaptive_global_success_one_zero_old,0.000110000000000,0.000110000000000,0.000000000000000,37.02408
260506_165244,10000,7,7,0.1067,0.0000,0.1067,True,adaptive_global_success_one_zero_old,0.194000000000000,0.200600000000000,0.074500000000000,199.9464
260506_165025,50000,7,7,0.0933,0.0000,0.0933,True,adaptive_global_success_one_zero_old,0.027660000000000,0.029740000000000,0.000840000000000,91.20288
260506_165702,100000,7,7,0.0600,0.0600,0.0600,True,adaptive_global_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,14.44368
260506_165707,100000,7,7,0.0667,0.0667,0.0667,True,adaptive_global_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,26.19888
260506_165452,10000,7,7,0.1133,0.0000,0.1133,True,adaptive_global_success_one_zero_old,0.238000000000000,0.243600000000000,0.170700000000000,243.4344
260506_165724,100000,7,7,0.0733,0.0733,0.0733,True,adaptive_global_success_one_zero_old,0.000220000000000,0.000190000000000,0.000000000000000,39.4416
260506_170042,10000,7,7,0.1000,0.1000,0.1000,True,adaptive_global_success_one_zero_old,0.221700000000000,0.237700000000000,0.126900000000000,228.4848
260506_165858,50000,7,7,0.0867,0.0867,0.0867,True,adaptive_global_success_one_zero_old,0.045180000000000,0.043260000000000,0.001980000000000,111.3216
260506_165752,100000,7,7,0.0800,0.0800,0.0800,True,adaptive_global_success_one_zero_old,0.004780000000000,0.004940000000000,0.000050000000000,63.89592
260506_165538,10000,7,7,0.1200,0.0000,0.1200,True,adaptive_global_success_one_zero_old,0.253600000000000,0.244200000000000,0.232500000000000,267.336
260506_170046,10000,7,7,0.1067,0.1067,0.1067,True,adaptive_global_success_one_zero_old,0.250900000000000,0.248100000000000,0.216200000000000,260.6184
260506_170127,10000,7,7,0.1133,0.1133,0.1133,True,adaptive_global_success_one_zero_old,0.252100000000000,0.253400000000000,0.246200000000000,276.3024
260506_165948,50000,7,7,0.0933,0.0933,0.0933,True,adaptive_global_success_one_zero_old,0.147380000000000,0.146200000000000,0.032520000000000,172.68192
260506_170547,10000,7,7,0.1200,0.1200,0.1200,True,adaptive_global_success_one_zero_old,0.249600000000000,0.248600000000000,0.249100000000000,283.4256
260506_182224,100000,7,7,0.0000,0.1200,0.0000,True,default_tracking_old,0.000000000000000,0.000000000000000,0.000000000000000,336.0
260506_183145,100000,7,7,0.0000,0.1333,0.0000,True,default_tracking_old,0.000000000000000,0.000000000000000,0.000000000000000,336.0
260506_183321,100000,7,7,0.0000,0.1467,0.0000,True,default_tracking_old,0.000000000000000,0.000000000000000,0.000000000000000,336.0
260506_184154,10000,7,7,0.0000,0.2000,0.0000,True,default_tracking_old,0.066600000000000,0.066600000000000,0.005800000000000,336.0
260506_183632,50000,7,7,0.0000,0.1733,0.0000,True,default_tracking_old,0.002300000000000,0.001980000000000,0.000000000000000,336.0
260506_183408,100000,7,7,0.0000,0.1600,0.0000,True,default_tracking_old,0.000080000000000,0.000130000000000,0.000000000000000,336.0
260506_184247,10000,7,7,0.0000,0.2133,0.0000,True,default_tracking_old,0.157100000000000,0.160500000000000,0.039100000000000,336.0
260506_184608,10000,7,7,0.0000,0.2267,0.0000,True,default_tracking_old,0.225300000000000,0.226600000000000,0.111800000000000,336.0
260506_184843,100000,7,7,0.0600,0.0000,0.0600,True,default_tracking_old,0.000000000000000,0.000000000000000,0.000000000000000,336.0
260506_184042,50000,7,7,0.0000,0.1867,0.0000,True,default_tracking_old,0.016360000000000,0.016620000000000,0.000240000000000,336.0
260506_184630,10000,7,7,0.0000,0.2400,0.0000,True,default_tracking_old,0.242200000000000,0.250500000000000,0.192100000000000,336.0
260506_185038,100000,7,7,0.0667,0.0000,0.0667,True,default_tracking_old,0.000000000000000,0.000000000000000,0.000000000000000,336.0
260506_185920,10000,7,7,0.1000,0.0000,0.1000,True,default_tracking_old,0.127000000000000,0.120700000000000,0.021100000000000,336.0
260506_185214,100000,7,7,0.0733,0.0000,0.0733,True,default_tracking_old,0.000000000000000,0.000000000000000,0.000000000000000,336.0
260506_190237,10000,7,7,0.1067,0.0000,0.1067,True,default_tracking_old,0.219400000000000,0.208800000000000,0.090500000000000,336.0
260506_185511,50000,7,7,0.0867,0.0000,0.0867,True,default_tracking_old,0.004480000000000,0.005120000000000,0.000000000000000,336.0
260506_190942,100000,7,7,0.0600,0.0600,0.0600,True,default_tracking_old,0.000000000000000,0.000000000000000,0.000000000000000,336.0
260506_190254,10000,7,7,0.1133,0.0000,0.1133,True,default_tracking_old,0.250300000000000,0.241200000000000,0.185700000000000,336.0
260506_185217,100000,7,7,0.0800,0.0000,0.0800,True,default_tracking_old,0.000230000000000,0.000190000000000,0.000000000000000,336.0
260506_190432,10000,7,7,0.1200,0.0000,0.1200,True,default_tracking_old,0.248800000000000,0.252200000000000,0.230300000000000,336.0
