time,n_iter,distance,n_round,sigma,sigma_GKP,sigma_idle,with_info,method,X_err_rate,Z_err_rate,Y_err_rate,avg_n_measure
260604_130552,100000,5,25,0.0785,0.0785,0.0555,True,adaptive_round_global_joint_success_parity_zero_TARGET_5-10-15-20-25,0.003580000000000,0.003610000000000,0.000020000000000,176.88924
260604_131246,100000,5,27,0.0785,0.0785,0.0555,True,skip_round_zero_TARGET_5-10-15-20-25-27,0.006210000000000,0.005960000000000,0.000080000000000,120.0
260604_131513,100000,5,28,0.0785,0.0785,0.0555,True,skip_round_zero_TARGET_5-10-15-20-25-28,0.006190000000000,0.006190000000000,0.000070000000000,120.0
260604_130902,100000,5,26,0.0785,0.0785,0.0555,True,adaptive_round_global_joint_success_parity_zero_TARGET_5-10-15-20-25-26,0.004340000000000,0.004100000000000,0.000010000000000,200.82804
260604_131834,100000,5,29,0.0785,0.0785,0.0555,True,skip_round_zero_TARGET_5-10-15-20-25-29,0.006130000000000,0.006590000000000,0.000040000000000,120.0
260604_132028,100000,5,30,0.0785,0.0785,0.0555,True,skip_round_zero_TARGET_5-10-15-20-25-30,0.006940000000000,0.006420000000000,0.000030000000000,120.0
260604_131051,100000,5,27,0.0785,0.0785,0.0555,True,adaptive_round_global_joint_success_parity_zero_TARGET_5-10-15-20-25-27,0.004150000000000,0.004240000000000,0.000030000000000,209.20896
260604_131412,100000,5,28,0.0785,0.0785,0.0555,True,adaptive_round_global_joint_success_parity_zero_TARGET_5-10-15-20-25-28,0.004210000000000,0.004330000000000,0.000010000000000,213.43908
260604_132407,100000,5,31,0.0785,0.0785,0.0555,True,skip_round_zero_TARGET_5-10-15-20-25-30-31,0.007160000000000,0.007140000000000,0.000030000000000,144.0
260604_131644,100000,5,29,0.0785,0.0785,0.0555,True,adaptive_round_global_joint_success_parity_zero_TARGET_5-10-15-20-25-29,0.004610000000000,0.004640000000000,0.000000000000000,216.54084
260604_132645,100000,5,32,0.0785,0.0785,0.0555,True,skip_round_zero_TARGET_5-10-15-20-25-30-32,0.007790000000000,0.007520000000000,0.000040000000000,144.0
260604_131944,100000,5,30,0.0785,0.0785,0.0555,True,adaptive_round_global_joint_success_parity_zero_TARGET_5-10-15-20-25-30,0.005040000000000,0.004580000000000,0.000040000000000,218.72424
260604_133003,100000,5,33,0.0785,0.0785,0.0555,True,skip_round_zero_TARGET_5-10-15-20-25-30-33,0.007750000000000,0.007880000000000,0.000110000000000,144.0
